"","Overall","Service","Cleanliness","Value","Sleep Quality","Rooms","Location","Business service (e.g., internet access)","Check in / front desk","Date","Hotel Name","Hotel Prie","Zip Code"
"2310","5.0","5","5","5","5","5","5",NA,NA,Jan 2011,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2311","5.0","5","5","5","5","5","5",NA,NA,Jan 2011,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2312","5.0","5","5","5","5","4","5",NA,NA,Jan 2011,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2313","2.0","1","3","3","2","2","3",NA,NA,Dec 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2314","5.0","5","5","5","5","5","5",NA,NA,Dec 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2315","5.0","5","5","5","5","5","5",NA,NA,Dec 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2316","5.0","5","5","4","5","4","5",NA,NA,Dec 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2317","5.0","5","5","4","4","4","5",NA,NA,Nov 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2318","5.0","5","5","5","5","5","5",NA,NA,Nov 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2319","5.0","5","5","5","5","5","5",NA,NA,Nov 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2320","5.0","5","5","5","3","4","5",NA,NA,Nov 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2321","5.0","5","4","3","5","5","5",NA,NA,Nov 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2322","4.0","5","5","4","4","4","5",NA,NA,Nov 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2323","5.0","5","5","4","5","4","5",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2324","4.0","4","5","3","5","5","3",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2325","4.0","5","5","4","3","4","5",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2326","5.0","5","5","5","5","5","5",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2327","5.0","5","5","4","5","5","5",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2328","5.0","5","5","4","5","5","5",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2329","5.0","5","5","5","5","5","5",NA,NA,Oct 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2330","5.0","5","5","5","5","5","4",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2331","3.0","4","5","5","5","2","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2332","5.0","5","5","5","5","5","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2333","5.0","5","5","5","5","5","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2334","5.0","5","5","4","5","5","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2335","5.0","5","5","5","5","5","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2336","4.0","4","4","5","5","4","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2337","4.0","5","4","4","5","5","4",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2338","5.0","4","5","5","4","5","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2339","5.0","4","5","5","5","4","5",NA,NA,Sep 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2340","3.0","3","3","3","2","2","4",NA,NA,Aug 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2341","5.0","5","5","4","5","5","5",NA,NA,Aug 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2342","5.0","5","5","5","5","5","5",NA,NA,Aug 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2343","5.0","5","5","5","5","4","5",NA,NA,Aug 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2344","4.0","4","5","5","5","5","5",NA,NA,Aug 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2345","4.0","4","5","4","3","4","5",NA,NA,Aug 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2346","3.0","3","4","3","4","3","5",NA,NA,Jul 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2347","4.0","4","4","4","4","3","5",NA,NA,Jul 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2348","5.0","5","5","5","3","5","5",NA,NA,Jul 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2349","5.0","5","5","5","5","5","5",NA,NA,Jul 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2350","5.0","5","5","5","5","5","5",NA,NA,Jul 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2351","2.0","3","4","2","3","2","5",NA,NA,Jun 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2352","4.0","5","4","3","4","4","5",NA,NA,May 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2353","5.0","5","5","5","5","5","5",NA,NA,May 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2354","5.0","5","5","4","5","5","5",NA,NA,Apr 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2355","4.0","5","5","4","5","4","5",NA,NA,Apr 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2356","3.0",NA,NA,NA,NA,NA,NA,NA,NA,Apr 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2357","4.0","5","5","4","5","4","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2358","4.0","5","5","4","4","3","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2359","5.0","5","5","5","5","4","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2360","5.0","5","5","5","5","5","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2361","3.0","3","4","3","3","3","4",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2362","5.0","5","5","5","5","5","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2363","4.0","5","4","4","4","5","4",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2364","5.0","5","5","5","5","5","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2365","4.0","5","5","5","4","4","5",NA,NA,Mar 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2366","5.0","5","5","5","4","5","5",NA,NA,Feb 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2367","5.0","4","5","4","5","4","5",NA,NA,Feb 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2368","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Feb 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2369","5.0","5","4","5","5","5","5",NA,NA,Feb 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2370","5.0","5","5","4","5","5","5",NA,NA,Feb 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2371","5.0","5","5","4","5","4","5",NA,NA,Feb 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2372","5.0","5","5","4",NA,"4","5",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2373","5.0","5","5","5",NA,"4","5",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2374","5.0","5","5","5",NA,"5","5",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2375","5.0","5","5","5",NA,"5","5",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2376","5.0","5","5","4",NA,"5","5",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2377","5.0","5","5","5",NA,"5","5",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2378","5.0","5","5","5",NA,"5","4",NA,NA,Jan 2010,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2379","5.0","5","4","5",NA,"4","5",NA,NA,Dec 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2380","4.0","5","4","5",NA,"4","5",NA,NA,Dec 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2381","5.0","5","5","5",NA,"5","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2382","4.0","4","4","4",NA,"4","4",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2383","5.0","5","5","5",NA,"5","4",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2384","5.0","5","4","4",NA,"4","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2385","5.0","5","5","5",NA,"5","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2386","5.0","5","5","5",NA,"5","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2387","1.0","1","1","2",NA,"1","2",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2388","2.0","3","1","3",NA,"3","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2389","5.0","5","5","5",NA,"5","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2390","5.0","5","5","5",NA,"5","5",NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2391","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Nov 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2392","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2393","4.0","5","5","3",NA,"4","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2394","4.0","4","4","4",NA,"3","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2395","5.0","5","4","4",NA,"4","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2396","5.0","5","5","4",NA,"5","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2397","4.0","4","4","3",NA,"5","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2398","5.0","5","5","5",NA,"5","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2399","5.0","5","5","5",NA,"5","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2400","4.0","4","4","4",NA,"4","4",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2401","4.0","4","4","4",NA,"4","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2402","5.0","5","5","4",NA,"5","5",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2403","3.0","1","2","3",NA,"3","4",NA,NA,Oct 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2404","5.0","5","5","5",NA,"4","5",NA,NA,Sep 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2405","5.0","5","5","5",NA,"5","5",NA,NA,Sep 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2406","5.0","5","5","4",NA,"4","5",NA,NA,Sep 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2407","5.0","5","5","5",NA,"4","5",NA,NA,Sep 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2408","5.0","5","5","5",NA,"5","5",NA,NA,Sep 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2409","5.0","5","5","4",NA,"5","4",NA,NA,Sep 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2410","5.0","5","5","4",NA,"4","4",NA,NA,Aug 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2411","5.0","5","5","5",NA,"5","5",NA,NA,Aug 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2412","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Aug 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2413","4.0","4","5","5",NA,"3","5",NA,NA,Aug 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2414","4.0","5","5","4",NA,"4","5",NA,NA,Aug 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2415","4.0","4","4","3",NA,"3","4",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2416","5.0","3","5","4",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2417","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2418","5.0","5","5","5",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2419","5.0","4","5","4",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2420","3.0",NA,NA,NA,NA,NA,NA,NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2421","3.0","3","2","3",NA,"2","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2422","5.0","5","5",NA,NA,NA,"5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2423","4.0","5","5","3",NA,"4","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2424","5.0","5","5","5",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2425","5.0","5","5","5",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2426","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2427","5.0","4","4","5",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2428","5.0","5","5","4",NA,"5","5",NA,NA,Jul 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2429","5.0","4","5","5",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2430","4.0","5","5","3",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2431","5.0","5","5","4",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2432","5.0","5","5","3",NA,"5","3",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2433","4.0","5","5","5",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2434","4.0","5","5","5",NA,"4","4",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2435","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2436","5.0","5","5","5",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2437","5.0","5","5","5",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2438","4.0","4","5","4",NA,"5","5",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2439","4.0","5","5","5",NA,"4","4",NA,NA,Jun 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2440","5.0","5","5","5",NA,"5","5",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2441","4.0","5","5","5",NA,"5","5",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2442","5.0","5","5","5",NA,"4","5",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2443","5.0","5","5","5",NA,"5","5",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2444","5.0","5","5","5",NA,"5","5",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2445","5.0","5","5","5",NA,"5","4",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2446","5.0","5","5","5",NA,"5","5",NA,NA,May 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2447","4.0","5","5","5",NA,"5","5",NA,NA,Apr 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2448","5.0","5","5","5",NA,"5","5",NA,NA,Apr 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2449","4.0","5","5","5",NA,"3","5",NA,NA,Apr 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2450","5.0","5","5","5",NA,"5","5",NA,NA,Apr 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2451","4.0","4","4","4",NA,"4","5",NA,NA,Apr 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2452","5.0","5","5","4",NA,"5","5",NA,NA,Mar 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2453","5.0","5","5","5",NA,"4","5",NA,NA,Mar 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2454","5.0","5","5","5",NA,"5","5",NA,NA,Feb 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2455","4.0",NA,NA,NA,NA,NA,NA,NA,NA,Jan 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2456","5.0","4","4","4",NA,"5","4","5","4",Jan 2009,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2457","5.0","5","5","5",NA,"5","5",NA,"5",Dec 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2458","5.0","4","4","5",NA,"5","5","4","4",Dec 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2459","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Nov 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2460","5.0","5","5","5",NA,"5","5",NA,"5",Nov 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2461","2.0","2","2","2",NA,"2","4",NA,"2",Nov 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2462","4.0","3","5","3",NA,"4","5",NA,"3",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2463","5.0","5","4","4",NA,"4","5","4","5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2464","5.0","5","4","5",NA,"5","5","3","5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2465","4.0","5","5","4",NA,"4","4","5","5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2466","3.0","4","5","4",NA,"4","5",NA,"5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2467","5.0","5","5","5",NA,"5","5",NA,"5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2468","5.0","5","5","4",NA,"4","5","3","5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2469","5.0","5","5","5",NA,"5","5","5","5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2470","4.0","5","5","4",NA,"5","5","5","5",Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2471","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Oct 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2472","5.0","5","5","5",NA,"5","5","4","5",Sep 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2473","4.0",NA,"4","3",NA,"4","5","4","4",Sep 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2474","4.0","4","3","4",NA,"3","4",NA,"4",Sep 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2475","5.0","5","5","5",NA,"5","5","5","5",Sep 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2476","5.0","5","5","5",NA,"5","5","5","5",Sep 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2477","5.0","5","5","5",NA,"5","5",NA,"5",Sep 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2478","5.0","5","5","5",NA,"5","5","5","5",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2479","5.0","5","5","5",NA,NA,"5","5","5",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2480","5.0","5","5","5",NA,"5","5","5","5",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2481","5.0","5","5","5",NA,"5","5","5","5",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2482","4.0","4","4","4",NA,"4","3",NA,"4",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2483","5.0","5","5","4",NA,"5","5","5","5",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2484","5.0","5","5","5",NA,"5","5","4","5",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2485","3.0","3","5","4",NA,"4","2","5","3",Aug 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2486","4.0","4","5","4",NA,"5","5",NA,"4",Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2487","4.0","4","5","3",NA,"3","4",NA,"3",Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2488","5.0","5","5","4",NA,"5","4",NA,"5",Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2489","5.0",NA,NA,NA,NA,NA,NA,NA,NA,Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2490","5.0","5","5","5",NA,"5","5",NA,"5",Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2491","5.0","5","5","4",NA,"5","5",NA,"5",Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2492","4.0","4","4","5",NA,"4","5",NA,"5",Jul 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2493","4.0","5","4","3",NA,"4","5",NA,"4",Jun 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2494","5.0","5","5","5",NA,"5","5","5","5",Jun 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2495","4.0","5","5","5",NA,"5","5",NA,"5",Jun 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2496","4.0",NA,NA,NA,NA,NA,NA,NA,NA,May 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2497","4.0","5","5","5",NA,"5","5","5","5",May 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2498","5.0","5","5","5",NA,"5","5",NA,"5",May 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2499","5.0","5","5","5",NA,"5","5","5","5",May 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2500","5.0","5","5","5",NA,"5","5","5","5",May 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2501","5.0","5","5","5",NA,"5","5",NA,"5",May 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2502","3.0","3","4","3",NA,"3","3","3","2",Apr 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2503","5.0","5","4","5",NA,"5","5","5","5",Apr 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
"2504","5.0","5","5","5",NA,"5","5","3","5",Mar 2008,"Hotel Monaco Chicago - a Kimpton Hotel","$212 - $472*","60601"
